iter	MultiClass
340	1.016599085
341	1.016435984
342	1.016304219
343	1.01623696
344	1.016116396
345	1.015883281
346	1.015775942
347	1.015531494
348	1.015334029
349	1.015210656
350	1.015135178
351	1.015062432
352	1.014902783
353	1.014822992
354	1.014674
355	1.014559093
356	1.014503078
357	1.014416929
358	1.014258371
359	1.014154905
360	1.01400359
361	1.013922174
362	1.013836224
363	1.013709201
364	1.013404895
365	1.013292299
366	1.013233249
367	1.013200134
368	1.013164007
369	1.01304362
370	1.012906093
371	1.012826833
372	1.012763659
373	1.012603077
374	1.012482211
375	1.01235856
376	1.012258225
377	1.012146656
378	1.01200267
379	1.01188638
380	1.011826499
381	1.011753076
382	1.011712844
383	1.011596591
384	1.011511505
385	1.01140139
386	1.011261695
387	1.011206462
388	1.011118461
389	1.010932545
390	1.010817724
391	1.010750101
392	1.01065252
393	1.010560216
394	1.010331398
395	1.010273704
396	1.01012107
397	1.010003652
398	1.009866878
399	1.009819904
400	1.009669872
401	1.009630236
402	1.009498331
403	1.00935024
404	1.009287841
405	1.009152179
406	1.008970507
407	1.008883723
408	1.008768679
409	1.00869309
410	1.008552668
411	1.008311886
412	1.00803574
413	1.007967623
414	1.007880645
415	1.0077972
416	1.007606902
417	1.007513501
418	1.007475979
419	1.007389544
420	1.007284404
421	1.007189079
422	1.007150901
423	1.0070839
424	1.006992549
425	1.006873525
426	1.006763352
427	1.006690935
428	1.006560065
429	1.006388882
430	1.00625324
431	1.006194801
432	1.006079934
433	1.005974732
434	1.005938502
435	1.005774303
436	1.005730643
437	1.005665916
438	1.005475167
439	1.005371497
440	1.00527456
441	1.005226499
442	1.005201668
443	1.005123862
444	1.00502251
445	1.004914208
446	1.004733291
447	1.004673051
448	1.004589076
449	1.004532106
450	1.004470298
451	1.004347018
452	1.004281679
453	1.004181134
454	1.004153384
455	1.004094141
456	1.004020018
457	1.00396697
458	1.003804775
459	1.003713286
460	1.003657665
461	1.003556214
462	1.003509139
463	1.003420595
464	1.003331139
465	1.003294454
466	1.003251122
467	1.003194976
468	1.003155618
469	1.003025873
470	1.002939468
471	1.002868964
472	1.002784872
473	1.0027526
474	1.002712557
475	1.002661957
476	1.002639428
477	1.002541573
478	1.002492131
479	1.002373732
480	1.00224362
481	1.002162184
482	1.002084784
483	1.002013687
484	1.001938796
485	1.00191126
486	1.001820588
487	1.001764191
488	1.00169211
489	1.00159371
490	1.00151649
491	1.001423886
492	1.001351937
493	1.001277954
494	1.001214803
495	1.001141749
496	1.001053478
497	1.000930178
498	1.000815801
499	1.000660213
